,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,target,date
0,45595680.0,93.0,93.05,91.5,75219710.0,92.91,94.66,92.65,32042290.0,95.94,96.29,95.25,92.9,06/28/16
1,22493750.0,206.05,207.81,204.52,25525650.0,209.32,209.5,206.76,25396100.0,208.0,209.25,207.07,207.28,08/09/18
2,17916260.0,244.51,244.8,241.81,19932550.0,242.1,243.24,241.22,22684000.0,241.16,242.2,239.62,243.16,10/25/19
3,66028640.0,114.31,115.7,113.31,46820600.0,117.95,118.36,117.31,23492650.0,117.1,117.74,117.0,115.39,10/27/16
4,51529980.0,101.52,101.53,99.21,65648660.0,98.63,101.46,98.37,52099200.0,97.06,97.88,94.94,99.93,01/26/16
5,25302200.0,176.18,177.36,175.65,18653380.0,174.59,175.49,174.49,23751690.0,173.16,174.3,173.0,177.9,01/16/18
6,18069930.0,191.35,191.97,190.21,26580710.0,191.17,192.0,189.77,21329170.0,194.14,194.2,192.34,191.39,06/12/18
7,102731700.0,111.11,111.11,103.5,161882500.0,94.87,108.8,92.0,127246600.0,110.43,111.9,105.65,107.09,08/26/15
8,41438280.0,174.51,174.95,170.53,51368540.0,177.25,177.3,173.2,32395870.0,177.3,179.44,176.82,172.0,01/26/18
9,32429770.0,153.75,153.99,147.3,15649120.0,153.35,153.93,153.06,18798250.0,151.8,153.84,151.8,149.89,07/28/17
10,24377170.0,234.59,237.58,234.29,17272900.0,235.09,236.15,233.52,19286690.0,233.37,235.24,233.2,237.52,10/21/19
11,32461350.0,116.26,116.82,115.65,45179400.0,116.37,117.42,115.21,59029400.0,116.9,118.07,116.06,115.2,11/13/15
12,41626820.0,190.0,190.7,184.99,36191330.0,190.5,194.97,189.46,46271660.0,188.39,191.97,186.9,178.37,11/20/18
13,23286380.0,204.43,207.75,203.9,17841920.0,202.83,204.94,202.34,24185530.0,203.12,204.15,202.52,207.36,04/24/19
14,67673450.0,115.4,116.54,113.99,66139770.0,118.08,118.13,114.92,59251740.0,116.7,119.23,116.33,116.93,10/28/15
15,23693550.0,267.27,268.25,263.45,11654360.0,266.6,268.0,265.9,16386120.0,265.58,267.98,265.31,258.31,12/03/19
16,15955820.0,190.68,191.96,189.56,20670830.0,191.78,192.43,190.17,20182050.0,189.69,192.55,189.69,192.45,07/24/18
17,29451050.0,160.1,163.12,160.0,25649890.0,160.14,162.0,159.93,25184600.0,159.65,160.56,159.27,163.8,08/30/17
18,23402510.0,172.5,173.54,172.0,19088170.0,172.15,172.39,171.46,34260890.0,169.2,172.89,168.79,172.4,12/14/17
19,37080720.0,116.25,116.54,115.44,43218350.0,115.93,116.53,114.42,58279570.0,116.58,116.89,114.86,115.66,09/17/15
20,22074760.0,159.32,160.21,158.75,26208970.0,156.6,158.57,156.07,39636190.0,159.9,160.0,154.63,160.66,08/15/17
21,84757780.0,113.76,114.02,109.77,54507300.0,111.65,112.56,110.32,49904460.0,108.97,110.45,108.51,110.27,09/10/15
22,27526040.0,96.05,96.76,95.25,36192150.0,93.98,96.38,93.32,31851180.0,96.4,96.5,94.55,97.2,02/26/16
23,32018540.0,150.85,151.27,149.22,26924630.0,152.88,153.7,151.51,35661200.0,152.5,153.97,150.86,150.27,01/15/19
24,41084070.0,225.46,226.35,216.05,26656630.0,223.64,227.27,222.25,28784550.0,222.21,224.8,220.2,214.52,10/11/18
25,40885480.0,107.01,107.03,104.82,25184090.0,108.58,108.7,107.18,30912260.0,106.96,109.43,106.86,102.61,01/04/16
26,26932880.0,194.86,196.0,193.6,26220850.0,191.81,195.37,191.62,30684390.0,186.51,191.92,185.77,193.95,06/12/19
27,46873670.0,112.11,112.3,109.73,25364920.0,111.62,112.39,111.33,32771760.0,110.8,112.34,110.8,108.89,04/18/16
28,34355970.0,96.0,96.57,95.03,60793260.0,96.62,96.65,95.3,31251870.0,96.45,97.75,96.07,94.94,06/21/16
29,24603320.0,171.25,171.7,169.75,21785180.0,169.71,171.26,169.38,22389660.0,171.39,172.48,169.92,169.71,02/19/19
30,40529120.0,268.7,270.07,264.7,42223820.0,262.74,267.37,261.23,50721830.0,270.8,271.7,259.0,268.31,04/13/20
31,26334880.0,266.94,267.16,262.5,21029520.0,262.71,266.44,262.52,16331260.0,262.59,263.18,260.84,265.58,11/27/19
32,38063130.0,117.99,119.41,117.75,13046450.0,118.29,118.41,117.6,21341960.0,119.21,119.23,117.92,118.75,12/01/15
33,20495340.0,122.14,122.35,121.6,26320740.0,121.67,122.44,121.6,32417410.0,120.42,122.1,120.28,120.93,01/30/17
34,26656630.0,223.64,227.27,222.25,28784550.0,222.21,224.8,220.2,33507770.0,227.96,228.41,220.58,225.46,10/10/18
35,29164190.0,110.12,111.99,110.01,28310840.0,109.72,110.54,109.66,27623150.0,109.81,110.35,108.83,111.95,11/22/16
36,23765710.0,148.82,150.9,148.57,20117070.0,147.97,149.33,147.33,25080500.0,145.5,148.49,145.44,149.2,07/18/17
37,31380450.0,323.5,324.24,316.5,20450750.0,315.77,319.23,315.35,25672210.0,318.66,320.89,315.87,316.14,05/27/20
38,26919530.0,210.88,213.35,210.32,24431920.0,210.62,212.73,210.03,28813620.0,204.28,207.16,203.84,212.99,08/21/19
39,20578020.0,199.2,201.51,198.81,25338630.0,200.81,201.4,198.41,17265520.0,203.35,205.08,202.9,201.85,07/10/19
40,28601630.0,355.15,355.4,351.09,41357180.0,351.46,353.2,344.72,34702230.0,333.25,345.68,332.58,351.41,06/18/20
41,18631540.0,154.26,154.45,152.72,26204670.0,153.21,154.13,152.0,21983410.0,153.89,154.28,152.7,154.01,10/03/17
42,30684390.0,186.51,191.92,185.77,22526310.0,183.08,185.47,182.15,29773430.0,184.28,184.99,181.14,191.81,06/10/19
43,18965930.0,214.1,216.36,213.84,25682700.0,216.8,217.19,214.03,30149410.0,218.1,219.18,215.11,214.65,08/23/18
44,49678430.0,286.53,297.88,286.5,57668360.0,300.95,302.53,286.13,55548830.0,297.26,304.18,289.23,281.1,02/27/20
45,32879090.0,186.93,190.9,186.76,33031360.0,189.91,192.47,188.84,26544720.0,186.27,191.75,186.02,183.52,05/20/19
46,29282700.0,225.82,228.06,224.33,30889270.0,226.27,229.93,225.84,34755550.0,225.64,227.49,223.89,227.03,10/09/19
47,19376940.0,159.07,160.47,158.88,21564890.0,158.23,160.0,158.02,26330070.0,157.5,157.89,155.11,160.43,08/24/17
48,18505780.0,214.65,217.05,214.6,18965930.0,214.1,216.36,213.84,25682700.0,216.8,217.19,214.03,216.6,08/24/18
49,34320200.0,284.73,289.67,283.89,28001190.0,285.08,285.83,278.2,29271890.0,281.8,284.54,279.95,289.96,04/30/20
50,27413060.0,175.69,177.75,173.97,25737560.0,174.28,175.15,172.89,27953810.0,174.32,174.91,172.92,175.94,03/05/19
51,24619750.0,201.3,202.76,199.29,27009520.0,200.2,203.53,199.39,33364400.0,195.41,199.56,193.82,199.62,08/12/19
52,33655810.0,105.01,106.48,104.62,31416910.0,106.93,106.93,105.52,30576980.0,106.64,108.09,106.06,105.0,04/25/16
53,21700900.0,265.8,267.43,264.23,25093670.0,263.68,265.78,263.01,22395560.0,263.75,264.88,262.1,267.9,11/19/19
54,16916650.0,157.23,157.83,156.78,21175670.0,156.91,157.55,155.27,17633730.0,156.29,157.42,156.2,159.29,10/27/17
55,40622910.0,149.56,151.82,148.52,54571440.0,148.7,148.83,145.9,57423650.0,144.53,148.55,143.8,151.29,01/09/19
56,32230590.0,106.57,107.68,106.16,50901380.0,107.71,107.81,104.08,34117030.0,107.12,108.87,106.55,106.7,11/16/16
57,23793830.0,168.99,170.66,168.42,31644240.0,172.4,173.94,170.34,28204640.0,174.65,175.57,172.85,171.05,02/11/19
58,29644640.0,293.79,299.96,292.75,36633880.0,297.15,300.58,296.5,33911860.0,296.24,300.6,295.19,299.84,01/07/20
59,18661340.0,263.79,265.89,262.73,16810390.0,261.07,263.31,260.68,29377270.0,258.31,259.53,256.29,267.48,12/06/19
60,60547340.0,193.9,194.48,185.93,46725710.0,191.63,197.18,191.45,50991030.0,199.0,199.85,193.79,188.39,11/15/18
61,52228910.0,166.41,169.2,165.27,41976500.0,162.13,167.26,161.84,35617230.0,164.0,164.33,160.63,175.23,05/02/18
62,43665160.0,93.37,93.45,91.85,35850220.0,94.0,94.07,92.68,40984160.0,95.2,95.9,93.82,93.0,05/09/16
63,25402270.0,153.8,154.72,153.54,35907770.0,151.78,153.92,151.69,44366140.0,149.99,151.83,149.16,153.89,09/28/17
64,27391950.0,157.86,159.5,156.72,27377960.0,160.52,160.71,157.84,27607370.0,161.94,162.51,160.15,157.5,08/21/17
65,21564890.0,158.23,160.0,158.02,26330070.0,157.5,157.89,155.11,27391950.0,157.86,159.5,156.72,159.07,08/23/17
66,26220850.0,191.81,195.37,191.62,30684390.0,186.51,191.92,185.77,22526310.0,183.08,185.47,182.15,194.86,06/11/19
67,24358920.0,174.66,176.24,174.33,24332120.0,173.91,175.25,173.6,34770480.0,172.37,174.99,171.72,175.11,11/09/17
68,39546610.0,106.27,107.65,106.18,26781730.0,105.58,106.0,105.28,30148360.0,104.81,105.84,104.77,107.52,08/08/16
69,18890250.0,171.58,173.0,171.38,17154540.0,171.8,172.37,170.3,25323890.0,171.19,173.32,170.99,174.16,02/25/19
70,20182050.0,189.69,192.55,189.69,16365720.0,191.78,191.8,189.93,15515000.0,189.75,191.87,189.2,191.78,07/20/18
71,33754680.0,109.63,110.23,109.21,25704330.0,108.14,109.54,108.08,18648700.0,107.78,108.44,107.78,109.1,08/17/16
72,42704910.0,171.76,174.78,170.42,41141250.0,180.95,182.39,176.27,40537700.0,184.46,184.94,181.21,173.49,12/07/18
73,21910700.0,320.75,323.44,318.93,20254650.0,317.75,322.35,317.21,38399530.0,319.25,321.15,316.47,324.66,06/03/20
74,66300930.0,110.17,111.54,108.73,73230280.0,112.83,113.51,107.86,51861990.0,113.85,114.57,112.44,109.07,10/01/15
